z,rx,ry
0.0,25.0,25.0
1.072145,25.589076,25.401124
2.144291,26.192032,25.808685
3.216436,26.809195,26.222784
4.288582,27.440901,26.643528
5.360727,28.087492,27.071023
6.432873,28.749318,27.505377
7.505018,29.42674,27.9467
8.577164,30.120123,28.395104
9.649309,30.829844,28.850703
10.721455,31.556289,29.313611
11.7936,32.29985,29.783947
12.865745,33.060933,30.26183
13.937891,33.839948,30.74738
15.010036,34.63732,31.240721
16.082182,35.45348,31.741978
17.154327,36.288872,32.251277
18.226473,37.143947,32.768748
19.298618,38.019171,33.294522
20.370764,38.915018,33.828731
21.442909,39.831974,34.371512
22.515055,40.770536,34.923002
23.5872,41.731213,35.483341
24.659345,42.714527,36.05267
25.731491,43.72101,36.631134
26.803636,44.75121,37.21888
27.875782,45.805684,37.816056
28.947927,46.885005,38.422814
30.020073,47.989757,39.039307
31.092218,49.120541,39.665691
32.164364,50.27797,40.302126
33.236509,51.462671,40.948773
34.308655,52.675288,41.605795
35.3808,53.916477,42.273359
36.452945,55.186913,42.951634
37.525091,56.487284,43.640791
38.597236,57.818295,44.341007
39.669382,59.180669,45.052457
40.741527,60.575145,45.775322
41.813673,62.002479,46.509786
42.885818,63.463445,47.256035
43.957964,64.958836,48.014256
45.030109,66.489463,48.784644
46.102255,68.056156,49.567392
47.1744,69.659766,50.3627
48.246545,71.301161,51.170768
49.318691,72.981232,51.991801
50.390836,74.700891,52.826009
51.462982,76.46107,53.6736
52.535127,78.262725,54.534792
53.607273,80.106832,55.409801
54.679418,81.994391,56.29885
55.751564,83.926427,57.202164
56.823709,85.903988,58.119971
57.895855,87.928147,59.052504
58.968,90.0,60.0
