z,rx,ry
-29.484,25.0,25.0
-28.548,25.51351,25.349833
-27.612,26.037567,25.704562
-26.676,26.572389,26.064254
-25.74,27.118196,26.42898
-24.804,27.675215,26.79881
-23.868,28.243675,27.173814
-22.932,28.823811,27.554066
-21.996,29.415863,27.93964
-21.06,30.020076,28.330608
-20.124,30.636701,28.727048
-19.188,31.26599,29.129035
-18.252,31.908206,29.536647
-17.316,32.563613,29.949963
-16.38,33.232483,30.369063
-15.444,33.915091,30.794028
-14.508,34.61172,31.224939
-13.572,35.322658,31.66188
-12.636,36.0482,32.104935
-11.7,36.788644,32.55419
-10.764,37.544297,33.009731
-9.828,38.315472,33.471648
-8.892,39.102486,33.940027
-7.956,39.905667,34.414961
-7.02,40.725345,34.896541
-6.084,41.561859,35.38486
-5.148,42.415556,35.880012
-4.212,43.286788,36.382093
-3.276,44.175916,36.8912
-2.34,45.083307,37.407431
-1.404,46.009336,37.930885
-0.468,46.954385,38.461665
0.468,47.918847,38.999872
1.404,48.903119,39.54561
2.34,49.907608,40.098985
3.276,50.93273,40.660103
4.212,51.978908,41.229073
5.148,53.046575,41.806006
6.084,54.136173,42.391011
7.02,55.248151,42.984202
7.956,56.38297,43.585695
8.892,57.541098,44.195604
9.828,58.723015,44.814047
10.764,59.929208,45.441145
11.7,61.160178,46.077018
12.636,62.416432,46.721789
13.572,63.69849,47.375583
14.508,65.006882,48.038525
15.444,66.342149,48.710744
16.38,67.704842,49.39237
17.316,69.095526,50.083534
18.252,70.514776,50.784369
19.188,71.963177,51.495012
20.124,73.441329,52.215598
21.06,74.949842,52.946269
21.996,76.489341,53.687163
22.932,78.060463,54.438426
23.868,79.663855,55.200201
24.804,81.300182,55.972635
25.74,82.97012,56.755879
26.676,84.674358,57.550083
27.612,86.413603,58.3554
28.548,88.188572,59.171987
29.484,90.0,60.0
