z,rx,ry
-30.5275,12.7,12.7
-29.558373,13.076479,12.979286
-28.589246,13.464117,13.264714
-27.620119,13.863247,13.556419
-26.650992,14.274209,13.854538
-25.681865,14.697353,14.159214
-24.712738,15.133041,14.47059
-23.743611,15.581645,14.788813
-22.774484,16.043547,15.114034
-21.805357,16.519141,15.446407
-20.83623,17.008835,15.786089
-19.867103,17.513044,16.133242
-18.897976,18.0322,16.488028
-17.928849,18.566746,16.850617
-16.959722,19.117139,17.22118
-15.990595,19.683847,17.599891
-15.021468,20.267354,17.986931
-14.052341,20.868159,18.382482
-13.083214,21.486774,18.786732
-12.114087,22.123728,19.199871
-11.14496,22.779563,19.622096
-10.175833,23.45484,20.053606
-9.206706,24.150135,20.494606
-8.237579,24.866041,20.945303
-7.268452,25.603169,21.405912
-6.299325,26.362149,21.87665
-5.330198,27.143628,22.35774
-4.361071,27.948273,22.84941
-3.391944,28.776771,23.351892
-2.422817,29.629829,23.865424
-1.45369,30.508175,24.390249
-0.484563,31.412559,24.926616
0.484563,32.343752,25.474778
1.45369,33.302549,26.034994
2.422817,34.289769,26.607531
3.391944,35.306254,27.192658
4.361071,36.352872,27.790652
5.330198,37.430516,28.401797
6.299325,38.540105,29.026382
7.268452,39.682587,29.664702
8.237579,40.858937,30.317059
9.206706,42.070158,30.983763
10.175833,43.317285,31.665128
11.14496,44.601382,32.361476
12.114087,45.923544,33.073139
13.083214,47.284901,33.800451
14.052341,48.686613,34.543758
15.021468,50.129878,35.30341
15.990595,51.615927,36.079769
16.959722,53.146029,36.8732
17.928849,54.721488,37.68408
18.897976,56.343651,38.512791
19.867103,58.013901,39.359727
20.83623,59.733664,40.225288
21.805357,61.504407,41.109884
22.774484,63.327642,42.013933
23.743611,65.204925,42.937862
24.712738,67.137859,43.88211
25.681865,69.128092,44.847123
26.650992,71.177323,45.833357
27.620119,73.287302,46.84128
28.589246,75.45983,47.871368
29.558373,77.696759,48.924108
30.5275,80.0,50.0
