z,rx,ry
0.0,25.0,25.0
0.678636,25.401124,25.268609
1.357273,25.808685,25.540103
2.035909,26.222784,25.814515
2.714545,26.643528,26.091875
3.393182,27.071023,26.372215
4.071818,27.505377,26.655567
4.750455,27.9467,26.941963
5.429091,28.395104,27.231437
6.107727,28.850703,27.524021
6.786364,29.313611,27.819748
7.465,29.783947,28.118653
8.143636,30.26183,28.420769
8.822273,30.74738,28.726132
9.500909,31.240721,29.034775
10.179545,31.741978,29.346734
10.858182,32.251277,29.662046
11.536818,32.768748,29.980745
12.215455,33.294522,30.302868
12.894091,33.828731,30.628453
13.572727,34.371512,30.957535
14.251364,34.923002,31.290153
14.93,35.483341,31.626345
15.608636,36.05267,31.96615
16.287273,36.631134,32.309605
16.965909,37.21888,32.65675
17.644545,37.816056,33.007626
18.323182,38.422814,33.362271
19.001818,39.039307,33.720726
19.680455,39.665691,34.083033
20.359091,40.302126,34.449233
21.037727,40.948773,34.819367
21.716364,41.605795,35.193478
22.395,42.273359,35.571609
23.073636,42.951634,35.953803
23.752273,43.640791,36.340103
24.430909,44.341007,36.730553
25.109545,45.052457,37.125199
25.788182,45.775322,37.524084
26.466818,46.509786,37.927256
27.145455,47.256035,38.334759
27.824091,48.014256,38.746641
28.502727,48.784644,39.162948
29.181364,49.567392,39.583728
29.86,50.3627,40.009029
30.538636,51.170768,40.4389
31.217273,51.991801,40.873389
31.895909,52.826009,41.312547
32.574545,53.6736,41.756423
33.253182,54.534792,42.205068
33.931818,55.409801,42.658534
34.610455,56.29885,43.116871
35.289091,57.202164,43.580134
35.967727,58.119971,44.048374
36.646364,59.052504,44.521644
37.325,60.0,45.0
