z,rx,ry
0.0,12.7,12.7
1.101273,13.132161,13.043001
2.202545,13.579028,13.395265
3.303818,14.041101,13.757044
4.405091,14.518897,14.128593
5.506364,15.012952,14.510177
6.607636,15.52382,14.902067
7.708909,16.052071,15.304541
8.810182,16.598297,15.717885
9.911455,17.163111,16.142393
11.012727,17.747145,16.578366
12.114,18.351052,17.026113
13.215273,18.97551,17.485953
14.316545,19.621216,17.958213
15.417818,20.288896,18.443227
16.519091,20.979295,18.941341
17.620364,21.693187,19.452907
18.721636,22.431372,19.97829
19.822909,23.194676,20.517862
20.924182,23.983955,21.072007
22.025455,24.800091,21.641119
23.126727,25.643999,22.225601
24.228,26.516624,22.825868
25.329273,27.418943,23.442348
26.430545,28.351966,24.075477
27.531818,29.316739,24.725706
28.633091,30.314341,25.393497
29.734364,31.345891,26.079323
30.835636,32.412542,26.783671
31.936909,33.51549,27.507043
33.038182,34.655969,28.249951
34.139455,35.835257,29.012924
35.240727,37.054675,29.796503
36.342,38.315587,30.601245
37.443273,39.619406,31.427722
38.544545,40.967592,32.27652
39.645818,42.361654,33.148242
40.747091,43.803155,34.043508
41.848364,45.293707,34.962952
42.949636,46.834981,35.90723
44.050909,48.428701,36.87701
45.152182,50.076654,37.872982
46.253455,51.780683,38.895853
47.354727,53.542699,39.946349
48.456,55.364672,41.025218
49.557273,57.248645,42.133224
50.658545,59.196726,43.271156
51.759818,61.211098,44.43982
52.861091,63.294015,45.640048
53.962364,65.44781,46.872692
55.063636,67.674896,48.138626
56.164909,69.977766,49.438751
57.266182,72.359,50.77399
58.367455,74.821262,52.14529
59.468727,77.367312,53.553627
60.57,80.0,55.0
